"id","timeslot","student","faculty","indepth","comment","ts"
"0","19","172095","37","ID","",""
"0","20","172095","36","","",""
"0","21","172095","10","","",""
"0","18","172095","26","","",""
"0","1","172095","43","","",""
"0","19","172255","36","","",""
"0","18","172255","22","ID","",""
"0","20","172255","45","","",""
"0","21","172255","62","","",""
"0","1","172255","63","","",""
"0","20","172267","37","","",""
"0","18","172267","17","ID","",""
"0","19","172267","18","","",""
"0","21","172267","16","","",""
"0","1","172267","62","","",""
"0","19","172965","42","","",""
"0","20","172965","7","ID","",""
"0","21","172965","49","","",""
"0","18","172965","23","","",""
"0","1","172965","39","","",""
"0","19","173117","9","","",""
"0","20","173117","6","","",""
"0","21","173117","21","","",""
"0","18","173117","44","","",""
"0","1","173117","29","ID","",""
"0","19","176636","35","","",""
"0","18","176636","16","","",""
"0","1","176636","22","","",""
"0","20","176636","62","ID","",""
"0","21","176636","63","","",""
"0","19","177035","6","","",""
"0","20","177035","43","ID","",""
"0","21","177035","41","ID","",""
"0","18","177035","34","","",""
"0","1","177035","61","","",""
"0","21","177190","6","","",""
"0","19","177190","13","","",""
"0","1","177190","44","","",""
"0","18","177190","43","ID","",""
"0","20","177190","29","","",""
"0","20","179475","13","ID","",""
"0","19","179475","24","","",""
"0","21","179475","38","","",""
"0","1","179475","17","","",""
"0","2","179475","44","","",""
"0","21","181250","36","","",""
"0","20","181250","24","","",""
"0","19","181250","33","","",""
"0","18","181250","25","ID","",""
"0","1","181250","52","","",""
"0","19","182631","38","","",""
"0","21","182631","13","","",""
"0","20","182631","61","ID","",""
"0","18","182631","55","","",""
"0","2","182631","63","","",""
"0","19","182801","46","ID","",""
"0","21","182801","24","","",""
"0","20","182801","18","","",""
"0","18","182801","38","","",""
"0","1","182801","23","","",""
"0","20","182916","46","ID","",""
"0","2","182916","22","","",""
"0","19","182916","29","","",""
"0","21","182916","52","","",""
"0","18","182916","63","","",""
"0","4","183869","16","ID","",""
"0","19","183869","15","","",""
"0","20","183869","38","","",""
"0","21","183869","26","","",""
"0","18","183869","39","","",""
"0","19","189257","20","ID","",""
"0","18","189257","24","ID","",""
"0","20","189257","15","ID","",""
"0","5","189257","16","","",""
"0","21","189257","43","","",""
"0","18","189281","6","ID","",""
"0","1","189281","36","","",""
"0","2","189281","38","","",""
"0","19","189281","43","","",""
"0","21","189281","29","","",""
"0","18","189595","36","ID","",""
"0","20","189595","20","","",""
"0","21","189595","37","","",""
"0","19","189595","21","","",""
"0","1","189595","19","","",""
"0","2","189615","36","","",""
"0","20","189615","9","","",""
"0","1","189615","6","","",""
"0","3","189615","43","ID","",""
"0","18","189615","29","","",""
"0","19","189666","14","","",""
"0","18","189666","13","","",""
"0","3","189666","22","","",""
"0","21","189666","61","ID","",""
"0","20","189666","63","","",""
"0","18","190927","37","","",""
"0","20","190927","35","ID","",""
"0","21","190927","15","","",""
"0","1","190927","14","","",""
"0","2","190927","17","","",""
"0","20","192351","21","ID","",""
"0","19","192351","27","","",""
"0","18","192351","15","","",""
"0","21","192351","35","","",""
"0","2","192351","39","","",""
"0","19","192402","31","","",""
"0","5","192402","36","","",""
"0","20","192402","33","","",""
"0","21","192402","14","","",""
"0","3","192402","63","ID","",""
"0","19","192597","49","ID","",""
"0","1","192597","38","","",""
"0","20","192597","41","","",""
"0","18","192597","52","","",""
"0","21","192597","39","","",""
"0","21","193007","20","","",""
"0","18","193007","21","","",""
"0","19","193007","19","ID","",""
"0","20","193007","52","","",""
"0","2","193007","61","","",""
"0","20","193052","27","ID","",""
"0","21","193052","31","","",""
"0","18","193052","9","","",""
"0","1","193052","21","","",""
"0","2","193052","49","","",""
"0","21","193170","46","ID","",""
"0","1","193170","24","","",""
"0","18","193170","18","","",""
"0","6","193170","16","","",""
"0","19","193170","52","","",""
"0","1","193421","37","","",""
"0","2","193421","13","","",""
"0","4","193421","22","","",""
"0","19","193421","63","ID","",""
"0","18","193421","61","","",""
"0","19","193723","23","ID","",""
"0","1","193723","15","","",""
"0","3","193723","17","","",""
"0","4","193723","13","","",""
"0","18","193723","62","","",""
"0","4","193828","17","ID","",""
"0","2","193828","15","","",""
"0","20","193828","14","","",""
"0","19","193828","39","","",""
"0","5","193828","63","","",""
"0","3","194251","44","ID","",""
"0","20","194251","19","","",""
"0","19","194251","25","","",""
"0","2","194251","52","","",""
"0","4","194251","61","","",""
"0","18","194380","46","ID","",""
"0","2","194380","24","","",""
"0","21","194380","33","","",""
"0","19","194380","10","","",""
"0","4","194380","44","","",""
"0","21","194509","27","","",""
"0","5","194509","44","ID","",""
"0","7","194509","16","","",""
"0","19","194509","26","","",""
"0","20","194509","39","","",""
"0","18","194822","20","ID","",""
"0","21","194822","19","","",""
"0","20","194822","10","","",""
"0","1","194822","25","","",""
"0","9","194822","34","","",""
"0","21","194855","9","","",""
"0","20","194855","42","","",""
"0","19","194855","45","ID","",""
"0","2","194855","43","","",""
"0","3","194855","62","","",""
"0","20","365984","31","ID","",""
"0","1","365984","20","","",""
"0","18","365984","19","","",""
"0","2","365984","10","","",""
"0","21","365984","23","","",""
"0","1","195982","9","ID","",""
"0","2","195982","6","","",""
"0","3","195982","38","","",""
"0","19","195982","7","","",""
"0","18","195982","41","","",""
"0","18","196504","31","ID","",""
"0","2","196504","20","","",""
"0","19","196504","5","","",""
"0","3","196504","21","","",""
"0","21","196504","18","","",""
"0","2","196617","9","ID","",""
"0","3","196617","6","","",""
"0","18","196617","14","","",""
"0","20","196617","49","","",""
"0","5","196617","22","","",""
"0","18","197319","27","","",""
"0","1","197319","18","","",""
